"","ci.tr","ci.type-1","ci.type-2","nas"
"irls0.5",0.944126984126984,0.0584375,0.0532258064516129,0
"irls1",0.944095238095238,0.059125,0.0525806451612904,0
"irls0.5",0.946031746031746,0.0571875000000001,0.0506451612903226,0
"irls1",0.945206349206349,0.0585,0.0509677419354839,0
"irls0.5",0.947174603174603,0.0545625000000001,0.0510322580645162,0
"irls1",0.946349206349206,0.0556875,0.0515483870967742,0
